ID,Name,searchstring,Country,Played
6278,B Lee (Brett Lee),B Lee,AUS,"Test matches player (1999/00 - 2008/09, 76 matches)One-Day Internationals player (1999/00 - 2012, 221 matches)Twenty20 Internationals player (2004/05 - 2011/12, 25 matches)Combined Test, ODI and T20I player (1999/00 - 2012)Under-19s Youth Test matches player (1993/94 - 1994/95, 6 matches)Under-19s Youth One-Day Internationals player (1993/94 - 1994/95, 5 matches)Twenty20 matches player (2004/05 - 2014/15, 120 matches)"
1289936,B Leephatthana (Banthida Leephatthana),B Lee,THA,"Women's One-Day Internationals player (2022/23 - 2023, 4 matches)Women's Twenty20 Internationals player (2022/23 - 2023, 4 matches)Women's Twenty20 player (2022/23 - 2023, 4 matches)"
311592,MA Starc (Mitchell Starc),MA Starc,AUS,"Test matches player (2011/12 - 2025/26, 105 matches)One-Day Internationals player (2010/11 - 2025/26, 130 matches)Twenty20 Internationals player (2012 - 2024, 65 matches)Combined Test, ODI and T20I player (2010/11 - 2025/26)Under-19s Youth One-Day Internationals player (2007/08, 4 matches)Twenty20 matches player (2009/10 - 2025/26, 158 matches)"
288284,JR Hazlewood (Josh Hazlewood),JR Hazlewood,AUS,"Test matches player (2014/15 - 2025, 76 matches)One-Day Internationals player (2010 - 2025/26, 96 matches)Twenty20 Internationals player (2012/13 - 2025/26, 60 matches)Combined Test, ODI and T20I player (2010 - 2025/26)Under-19s Youth One-Day Internationals player (2007/08 - 2009/10, 15 matches)Twenty20 matches player (2009/10 - 2025/26, 127 matches)"
51439,DJ Bravo (Dwayne Bravo),DJ Bravo,WI,"Test matches player (2004 - 2010/11, 40 matches)One-Day Internationals player (2003/04 - 2014/15, 164 matches)Twenty20 Internationals player (2005/06 - 2021/22, 91 matches)Combined Test, ODI and T20I player (2003/04 - 2021/22)Under-19s Youth One-Day Internationals player (2001/02, 7 matches)Twenty20 matches player (2005/06 - 2024, 582 matches)"
6441,SCG MacGill (Stuart MacGill),SCG MacGill,AUS,"Test matches player (1997/98 - 2008, 44 matches)One-Day Internationals player (1999/00, 3 matches)Combined Test, ODI and T20I player (1997/98 - 2008)Twenty20 matches player (2003 - 2011/12, 13 matches)"
267192,SPD Smith (Steven Smith),SPD Smith,AUS,"Test matches player (2010 - 2025/26, 123 matches)One-Day Internationals player (2009/10 - 2024/25, 170 matches)Twenty20 Internationals player (2009/10 - 2023/24, 67 matches)Combined Test, ODI and T20I player (2009/10 - 2025/26)Under-19s Youth One-Day Internationals player (2007/08, 4 matches)Twenty20 matches player (2007/08 - 2026, 274 matches)"
5593,NM Hauritz (Nathan Hauritz),NM Hauritz,AUS,"Test matches player (2004/05 - 2010/11, 17 matches)One-Day Internationals player (2001/02 - 2010/11, 58 matches)Twenty20 Internationals player (2009, 3 matches)Combined Test, ODI and T20I player (2001/02 - 2010/11)Under-19s Youth Test matches player (1999 - 2000/01, 6 matches)Under-19s Youth One-Day Internationals player (1999 - 2000/01, 14 matches)Twenty20 matches player (2005/06 - 2015/16, 53 matches)"
333810,AC McDermott (Alister McDermott),AC McDermott,AUS,"Under-19s Youth Test matches player (2009, 1 match)Under-19s Youth One-Day Internationals player (2009 - 2009/10, 8 matches)Twenty20 matches player (2008/09 - 2014/15, 25 matches)"
4864,DT Christian (Dan Christian),DT Christian,AUS,"One-Day Internationals player (2011/12 - 2021, 20 matches)Twenty20 Internationals player (2009/10 - 2021, 23 matches)Combined Test, ODI and T20I player (2009/10 - 2021)Under-19s Youth One-Day Internationals player (2001/02, 4 matches)Twenty20 matches player (2005/06 - 2024/25, 412 matches)"
5702,JR Hopes (James Hopes),JR Hopes,AUS,"One-Day Internationals player (2004/05 - 2010/11, 84 matches)Twenty20 Internationals player (2004/05 - 2010, 12 matches)Combined Test, ODI and T20I player (2004/05 - 2010/11)Under-19s Youth Test matches player (1996/97 - 1997/98, 3 matches)Under-19s Youth One-Day Internationals player (1996/97 - 1997/98, 12 matches)Twenty20 matches player (2004/05 - 2015/16, 93 matches)"
333805,ND Buchanan (Nick Buchanan),ND Buchanan,AUS,"Under-19s Youth One-Day Internationals player (2009/10, 6 matches)Twenty20 matches player (2011/12 - 2016/17, 5 matches)"
326637,CA Lynn (Chris Lynn),CA Lynn,AUS,"One-Day Internationals player (2016/17 - 2018/19, 4 matches)Twenty20 Internationals player (2013/14 - 2018/19, 18 matches)Combined Test, ODI and T20I player (2013/14 - 2018/19)Twenty20 matches player (2009/10 - 2025/26, 306 matches)"
51880,CH Gayle (Chris Gayle),CH Gayle,WI,"Test matches player (1999/00 - 2014, 103 matches)One-Day Internationals player (1999 - 2019, 301 matches)Twenty20 Internationals player (2005/06 - 2021/22, 79 matches)Combined Test, ODI and T20I player (1999 - 2021/22)Under-19s Youth Test matches player (1996/97, 1 match)Under-19s Youth One-Day Internationals player (1997/98, 7 matches)Twenty20 matches player (2005 - 2021/22, 463 matches)"
4508,DE Bollinger (Doug Bollinger),DE Bollinger,AUS,"Test matches player (2008/09 - 2010/11, 12 matches)One-Day Internationals player (2009 - 2011/12, 39 matches)Twenty20 Internationals player (2011/12 - 2014/15, 9 matches)Combined Test, ODI and T20I player (2008/09 - 2014/15)Twenty20 matches player (2005/06 - 2017/18, 129 matches)"
51782,FH Edwards (Fidel Edwards),FH Edwards,WI,"Test matches player (2003 - 2012/13, 55 matches)One-Day Internationals player (2003/04 - 2009, 50 matches)Twenty20 Internationals player (2007/08 - 2021, 26 matches)Combined Test, ODI and T20I player (2003 - 2021)Twenty20 matches player (2006 - 2021, 119 matches)"
4886,SJ Coyte (Scott Coyte),SJ Coyte,AUS,"Under-19s Youth One-Day Internationals player (2003/04, 3 matches)Twenty20 matches player (2006/07 - 2013/14, 25 matches)"
374934,SJ Coyte (Sarah Coyte),SJ Coyte,AUS,"Women's One-Day Internationals player (2010/11 - 2015/16, 30 matches)Women's Twenty20 Internationals player (2010/11 - 2015/16, 47 matches)Women's Test matches player (2010/11 - 2015, 4 matches)Women's Twenty20 player (2010/11 - 2025/26, 193 matches)"
333785,LA Doran (Luke Doran),LA Doran,AUS,"Under-19s Youth Test matches player (2009, 2 matches)Under-19s Youth One-Day Internationals player (2009 - 2009/10, 11 matches)Twenty20 matches player (2010/11 - 2014/15, 15 matches)"
398666,SA Abbott (Sean Abbott),SA Abbott,AUS,"One-Day Internationals player (2014/15 - 2025, 29 matches)Twenty20 Internationals player (2014/15 - 2025/26, 29 matches)Combined Test, ODI and T20I player (2014/15 - 2025/26)Under-19s Youth Test matches player (2009, 1 match)Under-19s Youth One-Day Internationals player (2009 - 2009/10, 7 matches)Twenty20 matches player (2010/11 - 2025/26, 208 matches)"
270484,JP Faulkner (James Faulkner),JP Faulkner,AUS,"Test matches player (2013, 1 match)One-Day Internationals player (2012/13 - 2017/18, 69 matches)Twenty20 Internationals player (2011/12 - 2016/17, 24 matches)Combined Test, ODI and T20I player (2011/12 - 2017/18)Under-19s Youth One-Day Internationals player (2007/08, 11 matches)Twenty20 matches player (2009/10 - 2021/22, 223 matches)"
12461,JW Dernbach (Jade Dernbach),JW Dernbach,ENG/ITA,"One-Day Internationals player (2011 - 2013, 24 matches)Twenty20 Internationals player (2011 - 2021/22, 40 matches)Combined Test, ODI and T20I player (2011 - 2021/22)Twenty20 matches player (2005 - 2021/22, 171 matches)"
