match_id,season,date,team1,team2,venue,winner,toss_winner,toss_decision,home_team,home_wins,toss_win_game_win,toss_winner_home
524915,2011,2011-12-16,Sydney Sixers,Brisbane Heat,"Sydney Cricket Ground, Sydney",Sydney Sixers,Brisbane Heat,bat,Sydney Sixers,Win,No,away
524916,2011,2011-12-17,Melbourne Stars,Sydney Thunder,Melbourne Cricket Ground,Sydney Thunder,Sydney Thunder,field,Melbourne Stars,Lose,Yes,away
524917,2011,2011-12-18,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,field,Adelaide Strikers,Win,No,away
524918,2011,2011-12-18,Perth Scorchers,Hobart Hurricanes,Western Australia Cricket Association Ground,Hobart Hurricanes,Hobart Hurricanes,bat,Perth Scorchers,Lose,Yes,away
524919,2011,2011-12-20,Brisbane Heat,Melbourne Stars,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Stars,Melbourne Stars,bat,Brisbane Heat,Lose,Yes,away
524920,2011,2011-12-21,Hobart Hurricanes,Sydney Sixers,"Bellerive Oval, Hobart",Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,Win,Yes,home
524921,2011,2011-12-22,Melbourne Renegades,Perth Scorchers,"Docklands Stadium, Melbourne",Perth Scorchers,Melbourne Renegades,bat,Melbourne Renegades,Lose,No,home
524922,2011,2011-12-23,Sydney Thunder,Adelaide Strikers,Stadium Australia,Sydney Thunder,Adelaide Strikers,bat,Sydney Thunder,Win,No,away
524923,2011,2011-12-27,Sydney Sixers,Melbourne Stars,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,Win,Yes,home
524924,2011,2011-12-28,Adelaide Strikers,Hobart Hurricanes,Adelaide Oval,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Strikers,Lose,Yes,away
524925,2011,2011-12-29,Perth Scorchers,Brisbane Heat,Western Australia Cricket Association Ground,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,Win,Yes,home
524926,2011,2011-12-30,Sydney Thunder,Melbourne Renegades,Stadium Australia,Melbourne Renegades,Melbourne Renegades,bat,Sydney Thunder,Lose,Yes,away
524927,2011,2012-01-01,Hobart Hurricanes,Sydney Thunder,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Thunder,bat,Hobart Hurricanes,Win,No,away
524928,2011,2012-01-02,Melbourne Renegades,Sydney Sixers,"Docklands Stadium, Melbourne",Melbourne Renegades,Sydney Sixers,bat,Melbourne Renegades,Win,No,away
524930,2011,2012-01-04,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,Perth Scorchers,Perth Scorchers,bat,Melbourne Stars,Lose,Yes,away
524933,2011,2012-01-08,Sydney Thunder,Sydney Sixers,Stadium Australia,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,Win,Yes,home
524934,2011,2012-01-08,Perth Scorchers,Adelaide Strikers,Western Australia Cricket Association Ground,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,Win,Yes,home
524935,2011,2012-01-09,Hobart Hurricanes,Melbourne Stars,"Bellerive Oval, Hobart",Melbourne Stars,Melbourne Stars,bat,Hobart Hurricanes,Lose,Yes,away
524936,2011,2012-01-10,Adelaide Strikers,Sydney Sixers,Adelaide Oval,Sydney Sixers,Sydney Sixers,bat,Adelaide Strikers,Lose,Yes,away
524938,2011,2012-01-12,Melbourne Renegades,Brisbane Heat,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,bat,Melbourne Renegades,Lose,Yes,away
524939,2011,2012-01-17,Brisbane Heat,Sydney Thunder,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Thunder,field,Brisbane Heat,Win,No,away
524940,2011,2012-01-18,Hobart Hurricanes,Melbourne Renegades,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Renegades,bat,Hobart Hurricanes,Win,No,away
524941,2011,2012-01-18,Sydney Sixers,Perth Scorchers,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,Win,Yes,home
524942,2011,2012-01-19,Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,Melbourne Stars,Adelaide Strikers,bat,Melbourne Stars,Win,No,away
524943,2011,2012-01-21,Perth Scorchers,Melbourne Stars,Western Australia Cricket Association Ground,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,Win,Yes,home
524944,2011,2012-01-22,Hobart Hurricanes,Sydney Sixers,"Bellerive Oval, Hobart",Sydney Sixers,Sydney Sixers,bat,Hobart Hurricanes,Lose,Yes,away
524945,2011,2012-01-28,Perth Scorchers,Sydney Sixers,Western Australia Cricket Association Ground,Sydney Sixers,Perth Scorchers,bat,Perth Scorchers,Lose,No,home
571232,2012,2012-12-07,Melbourne Renegades,Melbourne Stars,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades,Win,No,away
571233,2012,2012-12-08,Sydney Sixers,Sydney Thunder,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,field,Sydney Sixers,Win,Yes,home
571234,2012,2012-12-09,Brisbane Heat,Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,Brisbane Heat,bat,Brisbane Heat,Lose,No,home
