cricinfo_id,name,full_name,country,dob,batting_style,bowling_style
6278,Brett Lee,Brett Lee,Australia,1976-11-08,Right-hand bat,Right-arm fast
1289936,Banthida Leephatthana,Banthida Leephatthana,Thailand,2006-07-20,Right-hand bat,NA
311592,Mitchell Starc,Mitchell Aaron Starc,Australia,1990-01-30,Left-hand bat,Left-arm fast
288284,Josh Hazlewood,Josh Reginald Hazlewood,Australia,1991-01-08,Left-hand bat,Right-arm fast-medium
51439,Dwayne Bravo,Dwayne John Bravo,West Indies,1983-10-07,Right-hand bat,Right-arm medium
6441,Stuart MacGill,Stuart Charles Glyndwr MacGill,Australia,1971-02-25,Right-hand bat,Legbreak googly
267192,Steven Smith,Steven Peter Devereux Smith,Australia,1989-06-02,Right-hand bat,Legbreak googly
5593,Nathan Hauritz,Nathan Michael Hauritz,Australia,1981-10-18,Right-hand bat,Right-arm offbreak
333810,Alister McDermott,Alister Craig McDermott,Australia,1991-06-07,Right-hand bat,Right-arm fast-medium
4864,Dan Christian,Daniel Trevor Christian,Australia,1983-05-04,Right-hand bat,Right-arm fast-medium
5702,James Hopes,James Redfern Hopes,Australia,1978-10-24,Right-hand bat,Right-arm medium
333805,Nick Buchanan,Nicholas David Buchanan,Australia,1991-04-03,Right-hand bat,Right-arm fast-medium
326637,Chris Lynn,Christopher Austin Lynn,Australia,1990-04-10,Right-hand bat,Slow left-arm orthodox
51880,Chris Gayle,Christopher Henry Gayle,West Indies,1979-09-21,Left-hand bat,Right-arm offbreak
4508,Doug Bollinger,Douglas Erwin Bollinger,Australia,1981-07-24,Left-hand bat,Left-arm fast-medium
51782,Fidel Edwards,Fidel Henderson Edwards,West Indies,1982-02-06,Right-hand bat,Right-arm fast
4886,Scott Coyte,Scott James Coyte,Australia,1985-03-07,Left-hand bat,Right-arm fast-medium
374934,Sarah Coyte,Sarah Jane Coyte,Australia,1991-03-30,Right-hand bat,Right-arm medium
333785,Luke Doran,Luke Andrew Doran,Australia,1991-08-14,Right-hand bat,Slow left-arm orthodox
398666,Sean Abbott,Sean Anthony Abbott,Australia,1992-02-29,Right-hand bat,Right-arm fast-medium
270484,James Faulkner,James Peter Faulkner,Australia,1990-04-29,Right-hand bat,Left-arm fast-medium
12461,Jade Dernbach,Jade Winston Dernbach,England,1986-03-03,Right-hand bat,Right-arm fast-medium
6903,Clint McKay,Clinton James McKay,Australia,1983-02-20,Right-hand bat,Right-arm fast-medium
23460,Luke Wright,Luke James Wright,England,1985-03-07,Right-hand bat,Right-arm medium
5766,David Hussey,David John Hussey,Australia,1977-07-15,Right-hand bat,Right-arm offbreak
8166,Shane Warne,Shane Keith Warne,Australia,1969-09-13,Right-hand bat,Legbreak googly
8076,Shaun Tait,Shaun William Tait,Australia,1983-02-22,Right-hand bat,Right-arm fast
307495,Michael Beer,Michael Anthony Beer,Australia,1984-06-09,Right-hand bat,Slow left-arm orthodox
6981,Dirk Nannes,Dirk Peter Nannes,Australia,1976-05-16,Right-hand bat,Left-arm fast
7443,Nathan Rimmington,Nathan John Rimmington,Australia,1982-11-11,Right-hand bat,Right-arm fast-medium
325026,Glenn Maxwell,Glenn James Maxwell,Australia,1988-10-14,Right-hand bat,Right-arm offbreak
39836,Abdul Razzaq,Abdul Razzaq,Pakistan,1979-12-02,Right-hand bat,Right-arm fast-medium
272450,Mitchell Marsh,Mitchell Ross Marsh,Australia,1991-10-20,Right-hand bat,Right-arm medium
5197,Ben Edmondson,Ben Matthew Edmondson,Australia,1978-09-28,Left-hand bat,Right-arm fast-medium
326023,Mushahid Afridi,Mushahid Afridi,Pakistan,1972-01-01,Right-hand bat,Right-arm fast-medium
42639,Shahid Afridi,Sahibzada Mohammad Shahid Khan Afridi,Pakistan,1980-03-01,Right-hand bat,Legbreak googly
1380679,Shahid Afridi,Shahid Afridi,Germany,2000-01-05,Right-hand bat,Right-arm medium
5966,Aaron Heal,Aaron Keith Heal,Australia,1983-03-13,Left-hand bat,Slow left-arm orthodox
5681,Brad Hogg,George Bradley Hogg,Australia,1971-02-06,Left-hand bat,Left-arm wrist-spin
6553,Andrew McDonald,Andrew Barry McDonald,Australia,1981-06-05,Right-hand bat,Right-arm fast-medium
10772,Paul Collingwood,Paul David Collingwood,England,1976-05-26,Right-hand bat,Right-arm medium
47569,Alfonso Thomas,Alfonso Clive Thomas,South Africa,1977-02-09,Right-hand bat,Right-arm fast-medium
6235,Jason Krejza,Jason John Krejza,Australia,1983-01-14,Right-hand bat,Right-arm offbreak
7025,Aaron O'Brien,Aaron Warren O'Brien,Australia,1981-10-02,Left-hand bat,Slow left-arm orthodox
5941,Ben Hilfenhaus,Benjamin William Hilfenhaus,Australia,1983-03-15,Right-hand bat,Right-arm fast-medium
1495702,Corne Botha,Cornelius Johannes Botha,South Africa,2007-02-01,Right-hand bat,Right-arm medium
44149,Johan Botha,Johan Botha,South Africa,1982-05-02,Right-hand bat,Right-arm offbreak
1344016,Jemma Botha,Jemma Botha,South Africa,2007-05-29,Right-hand bat,Right-arm offbreak
1484009,Jenna-May Botha,Jenna-May Botha,England,NA,NA,NA
272262,Kane Richardson,Kane William Richardson,Australia,1991-02-12,Right-hand bat,Right-arm fast-medium
6419,Rhett Lockyear,Rhett John Gaven Lockyear,Australia,1983-02-28,Right-hand bat,Right-arm medium
5017,Xavier Doherty,Xavier John Doherty,Australia,1982-11-22,Left-hand bat,Slow left-arm orthodox
272279,Nathan Lyon,Nathan Michael Lyon,Australia,1987-11-20,Right-hand bat,Right-arm offbreak
315623,Ben Laughlin,Ben Laughlin,Australia,1982-10-03,Right-hand bat,Right-arm fast-medium
42272,Naved-ul-Hasan,Rana Naved-ul-Hasan,Pakistan,1978-02-28,Right-hand bat,Right-arm medium-fast
5779,Ryan Harris,Ryan James Harris,Australia,1979-10-11,Right-hand bat,Right-arm fast
376169,Michael Neser,Michael Gertges Neser,Australia,1990-03-29,Right-hand bat,Right-arm medium-fast
8002,Dominic Thornely,Dominic John Thornely,Australia,1978-10-01,Right-hand bat,Right-arm medium
5961,Moises Henriques,Moises Constantino Henriques,Australia,1987-02-01,Right-hand bat,Right-arm fast-medium
6943,Marcus North,Marcus James North,Australia,1979-07-28,Left-hand bat,Right-arm offbreak
5605,Shane Harwood,Shane Michael Harwood,Australia,1974-03-01,Right-hand bat,Right-arm fast-medium
6844,Bryce McGain,Bryce Edward McGain,Australia,1972-03-25,Right-hand bat,Legbreak googly
4427,Cameron Borgas,Cameron James Borgas,Australia,1983-09-01,Right-hand bat,Right-arm offbreak
7743,Chris Simpson,Christopher Patrick Simpson,Australia,1982-01-09,Right-hand bat,Right-arm offbreak
6105,Matt Johnston,Matthew James Johnston,Australia,1985-10-15,Left-hand bat,Right-arm medium
47850,Roelof van der Merwe,Roelof Erasmus van der Merwe,Netherlands,1984-12-31,Right-hand bat,Slow left-arm orthodox
261354,Nathan Coulter-Nile,Nathan Mitchell Coulter-Nile,Australia,1987-10-11,Right-hand bat,Right-arm fast
4487,Luke Butterworth,Luke Rex Butterworth,Australia,1983-10-28,Left-hand bat,Right-arm medium
