match_id,date,team1,team2,winner,result,winner_by_runs,winner_by_wickets,venue,toss_winner,toss_decision,home_team
524915,2011-12-16,Sydney Sixers,Brisbane Heat,Sydney Sixers,,,7,"Sydney Cricket Ground, Sydney",Brisbane Heat,bat,Sydney Sixers
524916,2011-12-17,Melbourne Stars,Sydney Thunder,Sydney Thunder,,,6,Melbourne Cricket Ground,Sydney Thunder,field,Melbourne Stars
524918,2011-12-18,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,,31,,Western Australia Cricket Association Ground,Hobart Hurricanes,bat,Perth Scorchers
524917,2011-12-18,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,,67,,Adelaide Oval,Melbourne Renegades,field,Adelaide Strikers
524919,2011-12-20,Brisbane Heat,Melbourne Stars,Melbourne Stars,,8,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Stars,bat,Brisbane Heat
524920,2011-12-21,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,,42,,"Bellerive Oval, Hobart",Hobart Hurricanes,bat,Hobart Hurricanes
524921,2011-12-22,Melbourne Renegades,Perth Scorchers,Perth Scorchers,,,8,"Docklands Stadium, Melbourne",Melbourne Renegades,bat,Melbourne Renegades
524922,2011-12-23,Sydney Thunder,Adelaide Strikers,Sydney Thunder,,,6,Stadium Australia,Adelaide Strikers,bat,Sydney Thunder
524923,2011-12-27,Sydney Sixers,Melbourne Stars,Sydney Sixers,,2,,"Sydney Cricket Ground, Sydney",Sydney Sixers,bat,Sydney Sixers
524924,2011-12-28,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,,14,,Adelaide Oval,Hobart Hurricanes,bat,Adelaide Strikers
524925,2011-12-29,Perth Scorchers,Brisbane Heat,Perth Scorchers,,10,,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
524926,2011-12-30,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,,6,,Stadium Australia,Melbourne Renegades,bat,Sydney Thunder
524927,2012-01-01,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,,,5,"Bellerive Oval, Hobart",Sydney Thunder,bat,Hobart Hurricanes
524928,2012-01-02,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,,,8,"Docklands Stadium, Melbourne",Sydney Sixers,bat,Melbourne Renegades
524930,2012-01-04,Melbourne Stars,Perth Scorchers,Perth Scorchers,,8,,Melbourne Cricket Ground,Perth Scorchers,bat,Melbourne Stars
524933,2012-01-08,Sydney Thunder,Sydney Sixers,Sydney Sixers,,17,,Stadium Australia,Sydney Sixers,bat,Sydney Sixers
524934,2012-01-08,Perth Scorchers,Adelaide Strikers,Perth Scorchers,,42,,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
524935,2012-01-09,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,,19,,"Bellerive Oval, Hobart",Melbourne Stars,bat,Hobart Hurricanes
524936,2012-01-10,Adelaide Strikers,Sydney Sixers,Sydney Sixers,,64,,Adelaide Oval,Sydney Sixers,bat,Adelaide Strikers
524938,2012-01-12,Melbourne Renegades,Brisbane Heat,Brisbane Heat,,12,,"Docklands Stadium, Melbourne",Brisbane Heat,bat,Melbourne Renegades
524939,2012-01-17,Brisbane Heat,Sydney Thunder,Brisbane Heat,,91,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,field,Brisbane Heat
524941,2012-01-18,Sydney Sixers,Perth Scorchers,Sydney Sixers,,1,,"Sydney Cricket Ground, Sydney",Sydney Sixers,bat,Sydney Sixers
524940,2012-01-18,Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,,,7,"Bellerive Oval, Hobart",Melbourne Renegades,bat,Hobart Hurricanes
524942,2012-01-19,Melbourne Stars,Adelaide Strikers,Melbourne Stars,,,6,Melbourne Cricket Ground,Adelaide Strikers,bat,Melbourne Stars
524943,2012-01-21,Perth Scorchers,Melbourne Stars,Perth Scorchers,,11,,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
524944,2012-01-22,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,,7,,"Bellerive Oval, Hobart",Sydney Sixers,bat,Hobart Hurricanes
524945,2012-01-28,Perth Scorchers,Sydney Sixers,Sydney Sixers,,,7,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
571232,2012-12-07,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,,,8,"Docklands Stadium, Melbourne",Melbourne Stars,bat,Melbourne Renegades
571233,2012-12-08,Sydney Sixers,Sydney Thunder,Sydney Sixers,,,7,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
571234,2012-12-09,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,,,8,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,bat,Brisbane Heat
571235,2012-12-09,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,,,6,Western Australia Cricket Association Ground,Perth Scorchers,bat,Perth Scorchers
571236,2012-12-12,Perth Scorchers,Melbourne Stars,Melbourne Stars,,24,,Western Australia Cricket Association Ground,Melbourne Stars,field,Perth Scorchers
571237,2012-12-13,Adelaide Strikers,Brisbane Heat,Brisbane Heat,,,3,Adelaide Oval,Brisbane Heat,field,Adelaide Strikers
571238,2012-12-14,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,,,5,Stadium Australia,Melbourne Renegades,field,Sydney Thunder
571239,2012-12-15,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,,,4,Melbourne Cricket Ground,Melbourne Stars,field,Melbourne Stars
571240,2012-12-16,Sydney Sixers,Perth Scorchers,Perth Scorchers,,,7,"Sydney Cricket Ground, Sydney",Perth Scorchers,field,Sydney Sixers
571241,2012-12-18,Brisbane Heat,Perth Scorchers,Perth Scorchers,,,9,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Perth Scorchers,field,Brisbane Heat
571242,2012-12-19,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,,,7,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
571243,2012-12-20,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,,51,,Stadium Australia,Sydney Thunder,field,Sydney Thunder
